"Variable","Explanation"
"title","The title of the song"
"artist","The artist of the song"
"top genre","The genre of the song"
"year","The year the song was in the Billboard"
"bpm","Beats per minute - the tempo of the song"
"nrgy","The energy of the song"
"dnce","The danceability of the song"
"dB","Decibel - the loudness of the song"
"live","Liveness -  likeliness the song was recorded live"
"val","Valence - how positive the mood of the song is"
"dur","The duration of the song"
"acous","The acousticness of the song"
"spch","Speechiness - higher value = more spoken words in the song"
"pop","Popularity"